City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
162,Saint George,US,37.1041,-113.5841,98.8,27,1,3.0,clear sky
163,Alta,NO,69.9689,23.2717,52.86,81,75,5.99,broken clouds
164,Key Largo,US,25.0865,-80.4473,92.01,68,23,8.16,few clouds
165,Lata,PT,40.1629,-8.3327,72.36,54,0,5.75,clear sky
166,Mayo,US,38.8876,-76.5119,95.38,58,1,8.99,clear sky
167,Najran,SA,17.4924,44.1277,90.25,30,100,4.34,overcast clouds
168,Antsohihy,MG,-14.8796,47.9875,68.88,60,1,5.73,clear sky
169,Necochea,AR,-38.5473,-58.7368,46.04,56,74,15.39,broken clouds
170,Hamilton,US,39.1834,-84.5333,92.05,54,20,1.01,few clouds
171,Hong Gai,VN,20.956,107.0946,82.31,87,100,3.22,light rain
172,Kiama,AU,-34.6833,150.8667,54.37,52,0,14.07,clear sky
173,Antalaha,MG,-14.9003,50.2788,65.03,87,0,8.25,clear sky
174,Yulara,AU,-25.2406,130.9889,51.64,66,0,8.05,clear sky
175,Kailua,US,21.4022,-157.7394,82.38,73,90,9.22,overcast clouds
176,Bredasdorp,ZA,-34.5322,20.0403,55.27,62,0,9.22,clear sky
177,Portsoy,GB,57.6814,-2.6896,63.95,92,100,9.46,overcast clouds
178,Sovetskiy,RU,61.3614,63.5842,43.95,87,97,7.31,overcast clouds
179,Novyy Urgal,RU,51.0736,132.5642,64.94,97,90,1.9,overcast clouds
180,Vuktyl,RU,63.8567,57.3094,43.38,97,100,3.71,overcast clouds
181,Portland,US,45.5234,-122.6762,88.63,48,100,1.99,overcast clouds
182,Surgut,RU,61.25,73.4167,50.18,100,0,0.0,clear sky
183,Lagoa,PT,39.05,-27.9833,72.43,80,100,8.39,overcast clouds
184,Lexington,US,37.9887,-84.4777,91.29,44,1,1.01,clear sky
185,Codrington,AU,-38.2667,141.9667,45.99,86,8,13.24,clear sky
186,Mwene-Ditu,CD,-7.0,23.45,73.42,31,0,2.19,clear sky
187,Homer,US,59.6425,-151.5483,60.69,66,1,11.5,clear sky
188,Aykhal,RU,66.0,111.5,65.89,73,12,5.46,few clouds
189,Batagay,RU,67.6333,134.6333,40.95,81,30,3.38,scattered clouds
190,Belmonte,BR,-15.8631,-38.8828,81.1,74,1,11.72,clear sky
191,Panaba,MX,21.2833,-88.2667,94.87,42,27,8.01,scattered clouds
192,Puerto Gaitan,CO,4.3133,-72.0816,73.36,93,100,4.59,overcast clouds
