City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
99,Bethel,US,81.41,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
101,Astoria,US,82.71,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
105,Esfahan,IR,82.04,clear sky,32.6572,51.6776,Abbasi Hotel
106,Tutoia,BR,85.98,clear sky,-2.7619,-42.2744,Pousada Guará's
107,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
111,Bathsheba,BB,75.81,light rain,13.2167,-59.5167,Atlantis Hotel
114,Vila Velha,BR,78.96,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
117,Djambala,CG,78.42,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
122,Dingle,PH,78.21,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
124,Brigantine,US,87.13,few clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
125,Lorengau,PG,81.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
129,Broome,US,77.7,scattered clouds,42.2506,-75.833,Chenango Valley State Park
131,Gat,IL,81.91,clear sky,31.61,34.7642,OlusHome
136,Veraval,IN,81.84,overcast clouds,20.9,70.3667,Lords Inn Somnath
138,Kathu,TH,84.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
140,Breznik,BG,78.21,broken clouds,42.7414,22.8981,"Guest House ""Margarita"""
141,Jenison,US,89.46,scattered clouds,42.9072,-85.792,"Holiday Inn Express Grand Rapids SW, an IHG Hotel"
143,Rexburg,US,79.86,light rain,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
148,Faanui,PF,76.91,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
150,Kalaleh,IR,79.12,overcast clouds,37.3807,55.4916,عطر و ادکلن پارسیس
151,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
152,Palauig,PH,80.94,heavy intensity rain,15.435,119.9045,Myhousebythesea
153,Samarai,PG,78.89,overcast clouds,-10.6167,150.6667,Nuli Sapi
154,Tautira,PF,80.62,few clouds,-17.7333,-149.15,Pension Oaoa
159,Aragarcas,BR,86.65,clear sky,-15.8975,-52.2508,Hotel Pousada Tropical
161,Buenavista,PH,75.79,scattered clouds,8.9769,125.4089,Room For Rent
171,Hong Gai,VN,82.31,light rain,20.956,107.0946,Hạ Long DC Hotel
175,Kailua,US,82.38,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
181,Portland,US,88.63,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
190,Belmonte,BR,81.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
193,Wajima,JP,77.11,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
196,Vanimo,PG,77.36,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
