City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Coihaique,CL,2021-07-26 17:41:56,-45.5752,-72.0662,44.55,53,20,4.61
98,Iqaluit,CA,2021-07-26 17:41:04,63.7506,-68.5145,47.93,87,75,5.99
99,Buin,CL,2021-07-26 17:45:45,-33.7333,-70.75,60.06,47,1,5.61
100,Matara,LK,2021-07-26 17:45:46,5.9485,80.5353,79.72,86,82,12.91
101,Yinchuan,CN,2021-07-26 17:45:46,38.4681,106.2731,76.28,44,9,1.63
102,San Cristobal,VE,2021-07-26 17:45:47,7.7669,-72.225,82.58,61,73,7.49
103,Port Alfred,ZA,2021-07-26 17:45:47,-33.5906,26.891,65.55,36,100,10.8
104,Bethel,US,2021-07-26 17:45:47,41.3712,-73.414,89.4,56,1,3.0
105,Albany,US,2021-07-26 17:44:03,42.6001,-73.9662,86.04,57,1,1.99
106,Upernavik,GL,2021-07-26 17:45:48,72.7868,-56.1549,45.81,63,100,4.59
107,Rosarito,MX,2021-07-26 17:45:48,32.3333,-117.0333,72.59,76,86,8.1
108,Hilo,US,2021-07-26 17:45:49,19.7297,-155.09,73.62,94,90,4.61
109,Khani,GE,2021-07-26 17:45:49,41.9563,42.9566,65.77,96,56,2.19
110,Kahului,US,2021-07-26 17:41:00,20.8947,-156.47,79.84,87,40,20.71
111,Russell,US,2021-07-26 17:45:24,32.3502,-85.1999,92.91,66,18,1.95
112,Usakos,NA,2021-07-26 17:45:50,-22.0,15.6,67.1,27,0,3.53
113,Airai,TL,2021-07-26 17:44:55,-8.9266,125.4092,55.31,66,27,2.44
114,Portland,US,2021-07-26 17:44:07,45.5234,-122.6762,80.2,63,40,1.01
115,Shingu,JP,2021-07-26 17:45:51,33.7333,135.9833,77.92,83,99,6.76
116,Cockburn Town,TC,2021-07-26 17:40:53,21.4612,-71.1419,87.76,62,40,11.5
117,Inhapi,BR,2021-07-26 17:45:51,-9.2214,-37.7486,84.36,55,88,8.43
118,Sao Joao Da Barra,BR,2021-07-26 17:45:52,-21.6403,-41.0511,80.69,68,0,16.89
119,Prince Rupert,CA,2021-07-26 17:45:52,54.3161,-130.3201,57.29,94,90,8.05
120,Komsomolskiy,UZ,2021-07-26 17:43:25,40.4272,71.7189,89.02,30,0,4.61
121,Naze,JP,2021-07-26 17:45:52,28.3667,129.4833,77.13,86,100,11.97
122,Nanortalik,GL,2021-07-26 17:45:53,60.1432,-45.2371,51.85,69,68,9.53
123,Guasdualito,VE,2021-07-26 17:45:53,7.2424,-70.7324,82.44,82,82,5.14
124,Veraval,IN,2021-07-26 17:45:53,20.9,70.3667,81.16,85,74,13.85
125,Metro,ID,2021-07-26 17:45:54,-5.1131,105.3067,70.48,91,4,3.62
126,Ambilobe,MG,2021-07-26 17:45:54,-13.2,49.05,68.61,69,56,5.3
127,Nishihara,JP,2021-07-26 17:45:54,26.1842,127.7558,81.68,95,90,11.5
128,Filadelfia,US,2021-07-26 17:43:34,39.9523,-75.1638,90.95,58,75,3.0
129,Klaksvik,FO,2021-07-26 17:45:55,62.2266,-6.589,52.72,99,100,7.18
130,Akyab,MM,2021-07-26 17:45:55,20.15,92.9,80.85,85,100,17.76
131,Kaitangata,NZ,2021-07-26 17:45:56,-46.2817,169.8464,48.92,68,100,8.61
132,Camopi,GF,2021-07-26 17:45:56,3.1655,-52.3158,85.23,63,68,4.54
133,San Policarpo,PH,2021-07-26 17:45:57,12.1791,125.5072,81.41,77,100,8.63
134,Comodoro Rivadavia,AR,2021-07-26 17:45:01,-45.8667,-67.5,48.06,43,0,14.97
135,Aktash,RU,2021-07-26 17:45:57,50.3,87.7333,48.11,82,25,2.95
136,Fare,PF,2021-07-26 17:45:58,-16.7,-151.0167,78.31,74,40,12.17
137,Deshnok,IN,2021-07-26 17:45:58,27.7986,73.3447,91.35,52,100,19.6
138,Saiha,IN,2021-07-26 17:45:58,22.4833,92.9667,72.68,98,100,3.0
139,Chokurdakh,RU,2021-07-26 17:45:59,70.6333,147.9167,35.62,88,81,11.54
140,Rocha,UY,2021-07-26 17:41:26,-34.4833,-54.3333,54.72,68,81,12.93
141,Pevek,RU,2021-07-26 17:45:59,69.7008,170.3133,35.96,88,84,11.18
142,Vaitape,PF,2021-07-26 17:46:00,-16.5167,-151.75,78.58,72,54,13.51
143,Morondava,MG,2021-07-26 17:46:00,-20.2833,44.2833,72.68,68,26,11.86
144,Saint Cloud,US,2021-07-26 17:46:00,45.5608,-94.1625,89.44,51,1,13.8
145,Bambanglipuro,ID,2021-07-26 17:46:01,-7.95,110.2833,74.53,85,82,4.38
146,Tigil,RU,2021-07-26 17:46:01,57.8,158.6667,60.76,97,100,20.98
147,Aklavik,CA,2021-07-26 17:46:02,68.2191,-135.0107,57.2,82,75,3.44
148,Saint George,US,2021-07-26 17:44:14,37.1041,-113.5841,89.8,51,1,4.0
149,Leningradskiy,RU,2021-07-26 17:46:02,69.3833,178.4167,38.34,88,95,2.51
